simulation,esd_qalys,surgery_qalys,esd_cost,surgery_cost,delta_qalys,delta_cost,icer
28,15.6193162393787,15.7508462417506,94779.1909612523,132419.098391643,0.131530002371838,37639.9074303903,286169.746458163
29,15.1117646953086,15.3770601995868,119534.762212477,144715.138309311,0.265295504278212,25180.3760968339,94914.4470628782
30,14.4558712113107,12.1841959856488,106292.104510557,118018.698597666,-2.27167522566186,11726.5940871091,-5162.09093388008
31,12.9736674802281,12.6446450629423,106725.030074767,125558.550675064,-0.329022417285779,18833.5206002969,-57240.8432095941
32,15.1082257705388,15.8366760597257,99894.5383197135,133365.153539739,0.728450289186819,33470.6152200259,45947.6998181848
33,14.3268378438786,10.7509649766526,114416.506264499,119152.159086259,-3.57587286722601,4735.65282175987,-1324.3347841484
34,12.4304026768588,13.383372509188,148949.128175489,149832.437294413,0.952969832329247,883.309118924517,926.901449509199
35,16.9727298076725,16.9025363390663,127577.006524351,113331.859787886,-0.0701934686061811,-14245.1467364651,202941.199791497
36,10.9114847638309,10.1968583724756,129441.904900587,153004.605469352,-0.714626391355294,23562.7005687651,-32972.05484404
37,13.7388047913168,14.6196106663984,121109.149678099,143794.190105868,0.880805875081586,22685.0404277685,25754.8695683567
38,15.2389593668493,13.5214606334774,124542.06702583,151398.747938374,-1.71749873337192,26856.6809125436,-15637.0892104337
39,11.6615385984057,16.1135587993442,123151.092011038,100351.800780122,4.45202020093846,-22799.2912309163,-5121.1113611098
40,15.8793476739583,11.9466664206389,121204.301628579,129050.097407467,-3.93268125331943,7845.79577888816,-1995.02458335921
41,12.7358623831483,15.1011510774054,133362.529061331,162107.572146085,2.36528869425713,28745.0430847535,12152.8687616636
42,17.3714728500149,15.5554147693359,93472.836766485,140947.561291812,-1.816058080679,47474.7245253271,-26141.633370876
43,15.9472470646888,15.883833535054,137502.239194085,148266.288176586,-0.0634135296348326,10764.0489825012,-169743.728893283
44,14.4914356065243,14.2589258227308,117819.11516004,147065.888779335,-0.232509783793525,29246.7736192953,-125787.281473141
45,13.2127538029069,13.6121881611656,114687.905119473,128235.027284745,0.399434358258613,13547.1221652717,33915.7658453122
46,15.6711152726579,11.8674483672193,137208.950166373,154910.794353889,-3.80366690543854,17701.8441875156,-4653.88916211493
47,13.5232767049065,14.8200967406852,104536.820876487,140966.926348168,1.29682003577874,36430.1054716815,28091.8743284262
48,16.5637296334433,11.6096134515305,127723.853943842,122364.289361895,-4.95411618191282,-5359.56458194727,1081.8407128833
49,16.8019038403358,13.3141929239427,124883.23970216,133754.945104437,-3.4877109163931,8871.70540227776,-2543.70434217428
50,15.4579510220992,15.1343658491016,116415.146785059,135914.510619724,-0.323585172997547,19499.3638346653,-60260.3748930521
51,15.4008446016352,13.6897568845143,99103.6845339411,128675.110159456,-1.71108771712096,29571.4256255146,-17282.2382684569
52,16.6127249019654,11.3679953119476,107175.977164346,139469.21687107,-5.2447295900178,32293.2397067245,-6157.27448907711
53,15.3191228050103,13.0760330538292,131544.083939751,159467.299277066,-2.24308975118109,27923.2153373154,-12448.5501851241
54,13.1799732075358,11.63215904289,94617.5293403623,98010.4336916363,-1.54781416464579,3392.90435127403,-2192.06183065942
55,14.8114117778794,14.8741453413688,135758.627076765,170354.975359745,0.0627335634893385,34596.3482829805,551480.680495062
56,17.0765225867948,16.7389469983822,103519.710642947,128427.025398686,-0.337575588412616,24907.3147557382,-73782.9262858137
57,13.8911091094034,17.4682198295449,128325.035971256,150440.364485094,3.57711072014152,22115.3285138384,6182.45568674023
58,13.1461395637863,12.4118501580208,109312.7508401,122982.630254583,-0.734289405765537,13669.8794144834,-18616.4737052577
59,12.9235118388243,11.7065763432931,140044.116182629,166644.862851217,-1.21693549553126,26600.7466685876,-21858.7975831661
60,12.2040970007152,11.8991245953301,127527.35307018,161096.468590026,-0.304972405385078,33569.1155198458,-110072.632563131
61,12.8978129819989,15.6335017715068,110366.651267641,153022.164128129,2.73568878950796,42655.5128604879,15592.2387897638
62,15.2629554913584,15.7317762320592,120330.053377991,136489.363697751,0.468820740700782,16159.3103197599,34467.9936634316
63,12.068071229076,11.2297480128375,120281.758201351,128352.624636589,-0.838323216238479,8070.86643523778,-9627.39225027242
64,16.4892392335221,13.1811611985385,91278.923351064,118545.060968811,-3.30807803498358,27266.137617747,-8242.28973119804
65,15.7126676455102,14.9757253616276,127443.780753575,128953.02792373,-0.736942283882529,1509.24717015581,-2047.98557928369
66,15.2821563507378,12.4591581463498,108766.173370568,122832.466447711,-2.82299820438798,14066.2930771431,-4982.74956579104
67,12.4453283282585,14.390394039393,110041.263621962,148324.931657519,1.94506571113445,38283.6680355571,19682.4548478768
68,16.8014307354333,14.5195741681314,136018.022511806,138933.027662894,-2.28185656730189,2915.00515108783,-1277.47080726225
69,17.1441966724465,16.7864098864105,130867.116978825,168949.196838033,-0.357786786036026,38082.0798592088,-106437.915947444
70,15.2325669404942,12.5179651846956,121843.165288211,137407.839118534,-2.7146017557986,15564.6738303239,-5733.6859069941
71,16.1416498884042,15.4616076684033,115283.038442414,111758.7972192,-0.680042220000894,-3524.24122321402,5182.38591599414
72,12.4175656299252,14.5753281126133,113616.78399872,135925.991311962,2.1577624826881,22309.2073132424,10339.0468099389
73,13.4895658159511,15.3700265371792,135282.622385888,167795.717593437,1.88046072122803,32513.0952075494,17289.9624227815
74,11.6578072798795,9.40792899013166,98836.3121811605,128697.780563404,-2.24987828974782,29861.4683822436,-13272.4816797048
75,13.8519409328711,16.0848600457854,132942.733233504,141373.076918929,2.23291911291426,8430.34368542532,3775.48100003613
76,16.5733447491887,14.7943686066493,119934.339201489,125703.527530084,-1.77897614253939,5769.18832859496,-3242.98240467676
77,15.4680575551715,16.2413760735737,106400.928855231,119438.826723407,0.773318518402208,13037.8978681764,16859.6736763975
78,12.2328353820779,16.4903010435578,112690.995329292,112042.245472055,4.25746566147985,-648.749857237199,-152.379351666151
79,9.1290215348419,10.9467167592233,113960.092523794,142460.242335579,1.81769522438136,28500.1498117845,15679.2785883477
80,13.4080626560478,14.9333123613989,110766.158160526,111925.512610117,1.5252497053511,1159.3544495914,760.107964960743
81,12.4132185025417,13.3497142841485,103519.481571603,138003.845831531,0.936495781606832,34484.3642599272,36822.7651818775
82,14.3073360016225,13.310393883459,98008.5525121078,118465.604077671,-0.99694211816348,20457.0515655634,-20519.7986852521
83,15.9583234572155,16.7503102139689,134001.214851454,145635.126022523,0.791986756753426,11633.9111710686,14689.5274092199
84,14.6872433392431,6.03025238076258,107466.686584615,96236.9158429617,-8.65699095848055,-11229.7707416528,1297.19099806289
85,13.341366123194,9.77130291279182,105284.251139466,109288.858891278,-3.57006321040216,4004.60775181226,-1121.71900490276
86,16.8229134701723,13.8625203521524,131201.465940209,157113.615997974,-2.96039311801986,25912.1500577659,-8752.94226974083
87,9.19624194407737,11.9912619544661,130866.522767089,152116.55766827,2.79502001038873,21250.034901181,7602.82030976429
88,17.3113549114492,11.9573311285669,97972.5744560335,119296.875047722,-5.35402378288225,21324.300591688,-3982.85503696595
89,16.1240631079434,14.0022839492708,125788.456288503,174250.924968739,-2.12177915867265,48462.4686802364,-22840.4867123654
90,14.9280137194278,12.477537351879,120490.708669795,134819.865342072,-2.45047636754881,14329.1566722775,-5847.49841379242
91,15.5970101960611,12.5411744678377,94733.0962424699,122655.985486652,-3.05583572822339,27922.8892441818,-9137.5622669402
92,16.1862642995348,16.4469467852998,133204.074241842,152606.632134944,0.260682485765059,19402.557893102,74429.8483887735
93,15.4636463408042,13.4728998410948,107381.322211696,121619.8988054,-1.9907464997094,14238.5765937047,-7152.38057471563
94,11.9544731010827,14.127739544208,105300.078182084,138850.305153148,2.17326644312534,33550.2269710645,15437.6961357837
95,15.1391481208077,11.7950567459575,122257.582427067,171769.327616737,-3.34409137485014,49511.7451896697,-14805.7393293832
96,16.8268561512064,11.5461389017593,108850.382497022,140969.660385058,-5.28071724944706,32119.2778880368,-6082.37032410701
97,15.8904852633136,15.199718797434,111536.357017637,115858.140951989,-0.690766465879641,4321.78393435209,-6256.50512557614
98,14.7653231467438,15.0350361634576,124630.350356001,157941.694312558,0.269713016713787,33311.3439565575,123506.623308087
99,12.7430102535488,12.5723974652914,98162.3871643082,129255.220194242,-0.17061278825749,31092.8330299334,-182242.101236913
100,15.4960701749665,10.3454592804449,101670.176803655,118529.799690425,-5.15061089452158,16859.62288677,-3273.32489913043
